headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
"Guns, Germs, Bitcoin and the Antisocial Right",2022-02-01,nyt://article/fe93a16a-33c1-5cee-a16d-0c957186afe7,article,Op-Ed,Opinion,"['United States Politics and Government', 'Bitcoin (Currency)', 'Electric Light and Power', 'Gun Control', 'Coronavirus (2019-nCoV)']",20,839,OpEd
DeSantis and the Media: (Not) a Love Story,2022-02-01,nyt://article/112e1047-66da-52ac-81dd-02265758564b,article,News,U.S.,"['United States Politics and Government', 'Presidential Election of 2024', 'News and News Media']",17,1612,Politics
Angry U.S.-Russia Exchange at U.N. Punctuates Deepening Ukraine Rift,2022-02-01,nyt://article/2dde2ecf-7352-5ca6-be5b-c0b8dd19480c,article,News,World,"['United States International Relations', 'International Relations', 'Politics and Government', 'Embargoes and Sanctions', 'Defense and Military Forces']",1,1512,Foreign
"U.S. and Allies Close to Reviving Nuclear Deal With Iran, Officials Say",2022-02-01,nyt://article/1f993990-0666-5f54-9de8-957abfcb93d7,article,News,U.S.,"['Nuclear Weapons', 'Embargoes and Sanctions', 'United States International Relations', 'Politics and Government', 'Arms Control and Limitation and Disarmament']",8,1317,Washington
How N.Y. Democrats Came Up With Gerrymandered Districts on Their New Map,2022-02-01,nyt://article/ae94f6de-6207-55bc-bf5f-fddc81259cad,article,News,New York,"['Redistricting and Reapportionment', 'United States Politics and Government', 'Politics and Government', 'State Legislatures', 'Geography']",14,1276,Metro
Trump Entered 2022 With $122 Million in the Bank,2022-02-01,nyt://article/0e053b35-9c26-54d4-9219-d697ad1cfd69,article,News,U.S.,"['Campaign Finance', 'Midterm Elections (2022)']",,643,Politics
Former Pence Chief of Staff Has Testified to the Jan. 6 Committee,2022-02-01,nyt://article/a5a30a29-943e-5ef4-84fc-158000411e0f,article,News,U.S.,"['United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)', 'Presidential Election of 2020']",19,684,Washington
Georgetown Suspends Lecturer Who Criticized Vow to Put Black Woman on Court,2022-02-01,nyt://article/8d69e5f6-7a3c-5a72-8dd9-41705c961b6a,article,News,U.S.,"['Colleges and Universities', 'Law Schools', 'Race and Ethnicity', 'Discrimination', 'Black People', 'Blacks', 'ACADEMIC FREEDOM', 'Freedom of Speech and Expression', 'Appointments and Executive Changes', 'Politics and Government']",,801,Express
Tom Brady Says He Hasn’t Reached Retirement Decision,2022-02-01,nyt://article/5ff1073b-0f8b-53a4-9049-0a7fa76509de,article,News,Sports,['Football'],10,592,Sports
Pfizer is expected to ask the F.D.A. to authorize its Covid vaccine for children under 5.,2022-02-01,nyt://article/f938cdf7-cdd1-57d4-b77e-7347b6848481,article,News,Science,[],,291,Washington
